text,appeal_to_authority,appeal_to_fear,bandwagon,black_white_fallacy,causal_oversimplification,doubt,exaggeration,flag_waving,loaded_language,name_calling,repetition,slogans,thought_terminating_cliche,whataboutism
they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"aggressively stuck his tongue in my mouth""",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"wet, open-mouthed kiss""",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"and squeezed ""at least twice""",0,0,0,0,0,0,0,0,1,0,0,0,0,0
the delay signaled the White House was having second thoughts about the nomination,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Exploding in Trump’s Face,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the biggest political gift possible,0,0,0,0,0,0,1,0,0,0,0,0,0,0
complete hash,0,0,0,0,0,0,0,0,1,0,0,0,0,0
how badly Trump does his job,0,0,0,0,0,1,0,0,0,0,0,0,0,0
reflected the reality-TV star’s weakness as a presidential candidate,0,0,0,0,0,1,0,0,0,0,0,0,0,0
reality-TV star’s,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Trump is easily manipulated by those around him,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cut-of-his-jib test,0,0,0,0,0,0,0,0,1,0,0,0,0,0
severe trouble,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Trump hasn’t learned it yet,0,0,0,0,0,1,0,0,0,0,0,0,0,0
extremely high-profile episode,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Trump and his White House staff failed to do their jobs,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a slur on all women,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a gang that can’t shoot straight,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president",1,0,0,0,0,0,0,0,0,0,0,0,0,0
someone who hires based on what he thinks someone doing that job should look like,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hazy old-time Hollywood casting,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bombshells,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"partisan, conservative judges",0,0,0,0,0,0,0,0,0,1,0,0,0,0
hypocritical,0,0,0,0,0,0,0,0,1,0,0,0,0,0
has blasted,0,0,0,0,0,0,0,0,1,0,0,0,0,0
are blasting,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a President who cares about nothing about the country and everything about his narrow self-interest,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sheer number,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Agencies scramble,0,0,0,0,0,0,0,0,1,0,0,0,0,0
were scrambling,0,0,0,0,0,0,0,0,1,0,0,0,0,0
has hamstrung the administration for more than 18 months,0,0,0,0,0,0,0,0,1,0,0,0,0,0
disgraced former FBI officials,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fired FBI Special Agent,0,0,0,0,0,0,0,0,0,1,0,0,0,0
are touting the president’s order,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,0,0,0,0,1,0,0,0,0,0,0,0,0,0
a red line that must not be crossed,0,0,0,0,0,0,0,0,1,0,0,0,0,0
This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a partisan memo,0,0,0,0,0,0,0,0,0,1,0,0,0,0
clear abuse of power,0,0,0,0,0,0,0,0,0,1,0,0,0,0
unprecedented,0,0,0,0,0,0,0,0,1,0,0,0,0,0
culminated,0,0,0,0,0,0,0,0,1,0,0,0,0,0
triumphant,0,0,0,0,0,0,0,0,1,0,0,0,0,0
extraordinary,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rogue kingdom,0,0,0,0,0,0,0,0,0,1,0,0,0,0
despotic leader,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Trump's gut-driven, norm-shattering tenure",0,0,0,0,0,0,0,0,0,1,0,0,0,0
People are going to be very impressed,0,0,0,1,0,0,0,0,0,0,0,0,0,0
unwavering,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brutal dictator,0,0,0,0,0,0,0,0,0,1,1,0,0,0
unthinkable,0,0,0,0,0,0,0,0,1,0,0,0,0,0
acrimonious,0,0,0,0,0,0,0,0,1,0,0,0,0,0
big problem,0,0,0,0,0,0,0,0,1,0,0,0,0,0
big dilemma,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Working together, we'll get it taken care of",0,0,0,0,0,0,0,0,0,0,0,1,0,0
increasing the drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0
surreality,0,0,0,0,0,0,0,0,1,0,0,0,0,0
very talented man,0,0,0,0,0,0,0,0,0,1,0,0,0,0
very talented,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fierce criticism,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fearsome renegade,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"""absolutely""",0,0,0,0,0,0,0,0,1,0,0,0,0,0
heralded a new era,0,0,0,0,0,0,1,0,0,0,0,0,0,0
our soldiers,0,0,0,0,0,0,0,1,0,0,1,0,0,0
commanding leader,0,0,0,0,0,0,0,0,0,1,0,0,0,0
world-altering,0,0,0,0,0,0,1,0,0,0,0,0,0,0
futuristic,0,0,0,0,0,0,0,0,0,1,0,0,0,0
foundation of lies,0,0,0,0,0,0,0,0,1,0,0,0,0,0
beneficial,0,0,0,0,0,0,0,0,0,1,0,0,0,0
a good thing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bypassing the class left her vulnerable to bullying,0,0,0,1,0,0,0,0,0,0,0,0,0,0
“You don’t need to be reading this. You need to be reading the Bible.”,0,0,0,1,0,0,0,0,0,0,0,0,0,0
going to hell,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pretty clear,0,0,0,0,0,0,0,0,1,0,0,0,0,0
You are not a Christian,0,0,0,0,0,0,0,0,0,1,0,0,0,0
(Faber was nominated by President George H.W. Bush.),0,0,0,0,0,0,0,0,0,0,0,0,0,1
"very, very",0,0,0,0,0,0,0,0,1,0,0,0,0,0
liberty of conscience is not up for a vote,0,0,0,0,0,0,0,0,0,0,0,1,0,0
If you die tonight. Heaven or Hell?,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ominous encroachment,0,0,0,0,0,0,0,0,1,0,0,0,0,0
grandstanding,0,0,0,0,0,0,0,0,1,0,0,0,0,0
behave or else,0,0,0,1,0,0,0,0,0,0,0,0,0,0
overly aggressive,0,0,0,0,0,0,0,0,1,0,0,0,0,0
devoted news consumer,0,0,0,0,0,0,0,0,0,1,0,0,0,0
totally false and deliberately libelous,0,0,0,0,0,0,0,0,0,1,0,0,0,0
willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I have never,0,0,0,0,0,0,0,0,0,0,1,0,0,0
government-aligned cyberspies,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Adolf Hitler as “a very great man,0,0,1,0,0,0,0,0,0,0,0,0,0,0
filth and degenerate behavior,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jews were “responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Edward E. Curtis IV, the author of “Black Muslim Religion in the Nation of Islam,” said that while estimates ranged wildly about how many bona fide members belonged to the Nation, he believes that there were tens of thousands of members in the 1960s and early 1970s. But he said that millions of others sympathized with the movement’s anticolonial stance and were inspired by its most famous member, Muhammad Ali",1,0,0,0,0,0,0,0,0,0,0,0,0,0
the white man” as “the white devil,0,0,0,0,0,0,0,0,0,1,0,0,0,0
outspokenly and flagrantly anti-Zionist,0,0,0,0,0,0,0,0,1,0,0,0,0,0
his 1984 description of Adolf Hitler as “a very great man,0,0,0,0,0,0,1,0,0,0,0,0,0,0
to condemn,0,0,0,0,0,0,0,0,1,0,0,0,0,0
make me shudder,0,0,0,0,0,0,0,0,1,0,0,0,0,0
harmful and divisive views,0,0,0,0,0,0,0,0,1,0,0,0,0,0
an “outstanding human being,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Why were Tamika Mallory and Danny Davis reluctant to denounce him,0,0,0,0,0,1,0,0,0,0,0,0,0,0
monthlong backlash,0,0,0,0,0,0,0,0,1,0,0,0,0,0
stamped out,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly ... have fought to create for so many years",0,0,0,0,0,0,0,1,0,0,0,0,0,0
poison pill,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the worst school shootings in US history,0,0,0,0,0,0,1,0,0,0,0,0,0,0
for “certain” public adulterers,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cunning ecclesiastical politician,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does",0,0,0,0,1,0,0,0,0,0,0,0,0,0
And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow,0,0,0,0,0,0,0,0,1,0,0,0,0,0
our intrepid presenters,0,0,0,0,0,0,0,0,0,1,0,0,0,0
all those ignorant critics of AL,0,0,0,0,0,0,0,0,0,1,0,0,0,0
all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven’t consulted the Latin text—,0,0,0,0,1,0,0,0,0,0,0,0,0,0
those ignorant Vatican translators,0,0,0,0,0,0,0,0,0,1,0,0,0,0
But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Our dynamic translators,0,0,0,0,0,0,0,0,0,1,0,0,0,0
synodal charade,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"In a sense, what Bergoglio is doing is worse than explicit heresy",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants",0,0,0,0,0,0,0,0,0,1,0,0,0,0
the grim reality of this unprecedented pontificate,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the old reliable “mistranslation,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"But wait, there’s more",0,0,0,0,0,0,0,0,0,0,0,0,1,0
reckless appeasement,0,0,0,0,0,0,0,0,1,0,0,0,0,0
disastrous,0,0,0,0,0,0,0,0,1,0,0,0,0,0
“It’s a new monster.”,0,0,0,0,0,0,0,0,1,0,0,0,0,0
milquetoast,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat,0,0,0,0,1,0,0,0,0,0,0,0,0,0
turned his back on millions of dissidents,0,0,0,0,0,0,1,0,0,0,0,0,0,0
giving rise to ISIS’s re-emergence in Iraq,0,0,0,0,1,0,0,0,0,0,0,0,0,0
turning Iraq into a virtual vassal state of the largest state sponsor of terrorism,0,0,0,0,0,0,1,0,0,0,0,0,0,0
legitimized Iran's path to eventually becoming a nuclear-armed state,0,0,0,0,1,0,0,0,0,0,0,0,0,0
American blood,0,0,0,0,0,0,0,1,0,0,0,0,0,0
could actually accelerate the cycle of violence and perpetuate conflict rather than get us to a sustainable outcome,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Whether the Trump administration follows through remains to be seen,0,0,0,0,0,1,0,0,0,0,0,0,0,0
virtual vassal,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Paddock could not have carried out the massacre,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"I’m not a big conspiracy theory guy, but it don’t sit right",0,0,0,0,0,0,0,0,0,0,0,0,1,0
Paddock’s body may have been left in the hotel room while other assailants carried out the shooting,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"after virtually every terror attack and mass shooting, friends and neighbors express shock",0,0,1,0,0,0,0,0,0,0,0,0,0,0
I can tell you 100% this is not that kind of guy,1,0,0,0,0,0,0,0,0,0,0,0,0,0
It’s gotta be a set-up,0,0,0,0,0,1,0,0,0,0,0,0,0,0
This throws their entire narrative into question and makes one wonder what else is being hidden from the public?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
seemingly covering up the ISIS connection,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Laura Loomer proves that authorities have directly lied to the American people,1,0,0,0,0,0,0,0,0,0,0,0,0,0
so-called evidence,0,0,0,0,0,1,0,0,0,1,0,0,0,0
lied to the American people,0,0,0,0,0,0,0,1,0,0,0,0,0,0
What Else Are They Hiding?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
proving that the FBI specifically lied to the country,0,0,0,0,0,0,0,0,0,0,1,0,0,0
lied to the country,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th",1,0,0,0,0,0,0,0,0,0,0,0,0,0
cannot be trusted and should be considered as disinformation,0,0,0,0,0,1,0,0,0,0,0,0,0,0
it was a suicide note,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"While officials did not reveal the woman’s name, they did tell reporters she was a prostitute",0,0,0,0,0,0,0,0,0,0,0,0,0,1
ammunition was purchased under someone else’s name,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ammo was bought under someone else’s name,0,0,0,0,0,0,0,0,0,0,1,0,0,0
anti-Israel BDS hate group,0,0,0,0,0,0,0,0,0,1,0,0,0,0
accused Jews of drinking blood,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EU no longer considers #Hamas a terrorist group. Time for US to do same.""",0,0,1,0,0,0,0,0,0,0,0,0,0,0
Holocaust Syndrome” of entitlement,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hezbollah as “an armed-resistance movement”,0,0,0,0,0,0,0,0,0,1,0,0,0,0
an anti-Israel,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Its perversion,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews",0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews. Being Jewish is highly identified with being white because of Zionism",0,0,0,0,0,0,0,1,0,0,0,0,0,0
We all have choices to make,0,0,0,0,0,0,0,0,0,0,0,0,1,0
just around the corner”,0,0,0,0,0,0,0,0,0,0,0,0,1,0
very dirty and unappealing water under the Catholic bridge,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Who can read this without cringing at what we now know was about to happen,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The idea of transubstantiation struck me as I read that document as possibly the strangest and most earth shattering thing I’d ever heard. It shocked me out of a kind of swamp of intellectual worldliness; presenting the idea to my thirsty mind that there could indeed be fantastic realities far more wonderful than the banal and painfully uninteresting secularist worldview I had been taught to accept. It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, “just around the corner”",0,0,0,0,0,0,0,0,1,0,0,0,0,0
it was outright wicked,0,0,0,0,0,0,0,0,1,0,0,0,0,0
this sacramental reality that was about to be catastrophically obscured,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"…it is not allowable to emphasize what is called the “communal” Mass to the disparagement of Masses celebrated in private, or to exaggerate the element of sacramental sign as if the symbolism, which all certainly admit in the Eucharist, expresses fully and exhausts completely the mode of Christ’s presence in this sacrament",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Nor is it allowable to discuss the mystery of transubstantiation without mentioning what the Council of Trent stated about the marvelous conversion of the whole substance of the bread into the Body and of the whole substance of the wine into the Blood of Christ, speaking rather only of what is called “transignification” and “transfiguration,”",0,0,0,1,0,0,0,0,0,0,0,0,0,0
We know it is demonically inspired because their hatred is for Christ Himself in the first place and for anyone who loves and wants to serve Him second. They are men who refuse to bend the knee before the God whom they will not serve,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The demonic forces we know are the driving force behind this supreme moment of heresy and destruction aren’t really looking at the undermining of marriage as their primary goal; they want to get at the Eucharist,0,0,1,0,0,0,0,0,0,0,0,0,0,0
is demonically brilliant,0,0,0,0,0,0,0,0,1,0,0,0,0,0
will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"But whatever its flaws, Mysterium Fidei is the one I found, and I’m convinced it wasn’t an accident",0,0,0,0,0,0,0,0,0,0,0,0,1,0
pernicious nonsense,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"If the Mass were ever reduced in our minds to being merely a commemorative meal and the priest as only a community leader or functionary, then the celibacy of the Catholic Priesthood might seem extravagant",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall",0,1,0,0,0,0,0,0,0,0,0,0,0,0
why weren’t the police rushing to the scene immediately,0,0,0,0,0,1,0,0,0,0,0,0,0,0
constantly changing story,0,0,0,0,0,1,0,0,0,0,0,0,0,0
While we may never know the exact circumstances,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"As the days have become weeks, the weeks will become months, and survival will get more difficult",0,0,0,0,0,0,0,0,0,0,0,0,1,0
a natural disaster of a magnitude not seen in over a century,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the unprecedented level of destruction,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the hurricane-ravaged island,0,0,0,0,0,0,0,0,0,1,0,0,0,0
devastated,0,0,0,0,0,0,0,0,1,0,0,0,0,0
we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hurricane-ravaged,0,0,0,0,0,0,0,0,1,0,0,0,0,0
series of shocking comments,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Take note that what he means here is that people were being shot at from ground level rather than the 32nd floor of the hotel,0,0,0,0,0,0,0,0,0,0,0,0,0,1
huge bombshell,0,0,0,0,0,0,0,0,1,0,0,0,0,0
we are not being told what actually happened that fateful night,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a huge bombshell in the ongoing investigation,0,0,0,0,0,1,0,0,0,0,0,0,0,0
while Francis does nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mr. Ferrara, however, bases his critique upon an assumption that the “generous response” offered to God is a sin. This, though, is not what AL is saying",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Pope Francis explains this again in AL 305 when he says “a small step, in the midst of great human limitations, can be more pleasing to God than a life which appears outwardly in order",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"With all due respect to Dr. Fastiggi, his argument and that of Buttiglione, that a “move away from sin” is what is pleasing to God, even if the moral norm is not adhered to, is sophistical",0,0,0,0,0,1,0,0,0,0,0,0,0,0
A moral catastrophe is self-evidently underway and it is not possible honestly to deny its cause,0,1,0,0,0,0,0,0,0,0,0,0,0,0
with an open heart and mind,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"with an open heart and mind, but above all with open eyes",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"He mentions the Holy Father's letter to the Buenos Aires bishops, but he fails to take into account that the statement of those Argentine bishops can be interpreted in an orthodox way",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Does Mr. Ferrara believe that the Catholic Church under Pope Francis is a “Leviathan Church” and not the Catholic Church? If this is so, then it would suggest that Mr. Ferrara is refusing submission to the Roman Pontiff and communion with the members of the Church subject to him",0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dr. Fastiggi has succumbed to an unfortunate literal-mindedness,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"demonstrate a pronounced lack of comprehension of pertinent ecclesiological and theological basics, and a rather embarrassing lack of rhetorical finesse",0,0,0,0,0,0,0,0,1,0,0,0,0,0
I respectfully suggest that Dr. Fastiggi’s comments evince a need for serious study and reflection before he ventures further opinions on this controversy in public,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Irony of ironies,0,0,0,0,0,0,0,0,1,0,0,0,0,0
foot soldiers of a Leviathan Church,0,0,0,0,0,0,0,0,0,1,0,0,0,0
What exactly do they want us to believe?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
There are obviously certain things that the FBI and other investigators seem intent on covering up,0,0,0,0,0,1,0,0,0,0,0,0,0,0
so why change the narrative to make it even more unbelievable?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Slowly but surely,0,0,0,0,0,0,0,0,0,0,0,0,1,0
astonishing eyewitness report,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Keep in mind, this is all information that the police and the FBI has hidden",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Keep in mind, this is all information that the police and the FBI has hidden from the American people",0,0,0,0,0,0,0,1,0,0,0,0,0,0
it is strikingly obvious that authorities have lied to the American people,0,0,0,0,0,0,0,0,0,0,1,0,0,0
One can only speculate as to what the reasons for these lies actually are?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
less glamorous,0,0,0,0,0,0,0,0,0,1,0,0,0,0
you move closer to legalizing all illegals,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Any Jew who opposes the Occupation — or opposes Zionism itself — knows that feeling of being shunned from the places that are supposed to shelter and nurture you: families, synagogues, community centers, arts organizations,""",0,1,0,0,0,0,0,0,0,0,0,0,0,0
people who hate the existence of Jewish nationhood. Not of Jewish nationhood itself,0,0,1,0,0,0,0,0,0,0,0,0,0,0
radical anti-Israel hate group,0,0,0,0,0,0,0,0,0,1,0,0,0,0
anti-Semite,0,0,0,0,0,0,0,0,0,1,0,0,0,0
anti-Israel,0,0,0,0,0,0,0,0,0,0,1,0,0,0
go whine to the New York Times some more,0,0,0,0,0,0,0,0,1,0,0,0,0,0
burn crosses on their lawn,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EU no longer considers #Hamas a terrorist group. Time for US to do same,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"If our Jewish institutions — particularly the American Jewish Historical Society — cannot accommodate dissent, and effectively exclude all Jewish anti-Zionists, then they have not only lost a rapidly growing Jewish population, but they have lost a key aspect of their Jewishness",0,0,0,1,0,0,0,0,0,0,0,0,0,0
knapsack of entitled nonsense,0,0,0,0,0,0,0,0,1,0,0,0,0,0
It's resistance to a propaganda campaign intended to attack the human rights of the Jewish people,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn,0,0,0,1,0,0,0,0,0,0,0,0,0,0
conspiracy theorists”,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Are they for real,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Further, the FBI insists there is no jihad motive, while saying they don’t know his motive",0,0,0,0,0,1,0,0,0,0,0,0,0,0
That raised a number of question,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Are they for real?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Do the FBI and law enforcement think people won’t talk about it or speculate as to what happened? Are they for real?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
contradicting a timeline they had offered earlier this week…,0,0,0,0,0,1,0,0,0,0,0,0,0,0
These discrepancies on basic facts are feeding conspiracy theories,0,0,0,0,0,1,0,0,0,0,0,0,0,0
trying to clean up the mess,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"reckless abandonment of facts in favor of ego and ideology""",0,0,0,0,0,0,0,0,1,0,0,0,0,0
lying to the American people.”,0,0,0,0,0,0,0,1,0,0,0,0,0,0
recklessly abandoned the facts,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Obama administration lied to the American people,0,0,0,0,0,0,0,0,0,0,1,0,0,0
This was another lie,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Obama administration lied about that too,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"the US Administration and Congress to consider the implications to the security of the US and its allies before taking any steps that might undermine the JCPOA, such as re-imposing sanctions on Iran lifted under the agreement.”",0,1,0,0,0,0,0,0,0,0,0,0,0,0
disastrous nuclear deal,0,0,0,0,0,0,0,0,1,0,0,0,0,0
It was the Obama administration that recklessly abandoned the facts in pressing ahead with the deal,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Israel must be wiped out”,0,0,0,0,0,0,0,0,0,0,0,1,0,0
shamelessly denied,0,0,0,0,0,0,0,0,1,0,0,0,0,0
let’s just kick the can down the road,0,0,0,0,0,0,0,0,1,0,0,0,0,0
phony agreements,0,0,0,0,0,0,0,0,1,0,0,0,0,0
North Korea’s actions over the last 23 years have proven that making concessions to a rogue regime in order to obtain denuclearization commitments is so dangerous that President Trump does not want to make the same mistake with Iran,0,1,0,0,0,0,0,0,0,0,0,0,0,0
