source,source_type,sentence_index,sentence,similarity_score,threshold_used,matched_article_id,matched_propaganda_text
DjT2,political_speech,139,"With your help, we will restore America promise and we will rebuild the nation that we love, and we love it so much",0.58332026,0.55,769682854,Make America Great Again
DjT2,political_speech,144,"But we are going to bring it back and make it great again, greater than ever before",0.64825535,0.55,769682854,Make America Great Again
DjT2,political_speech,147,"America will be respected again and admired again, including by people of religion, faith, and good will",0.556662,0.55,769682854,Make America Great Again
JB,political_speech,4,"The peoplethe will of the people has been heard, and the will of the people has been heeded",0.5998647,0.55,776368676,to stop the will of We the People
JB,political_speech,21,The dream of justice for all will be deferred no longer,0.57972705,0.55,777488669,a miscarriage of human justice beyond any the world could ever have imagined
JB,political_speech,23,"And now, a rise of political extremism, White supremacy, domestic terrorism that we must confront and we will defeat",0.57101333,0.55,785801366,Countering Violent Extremism
JB,political_speech,25,It requires the most elusive of all things in a democracy unity,0.57085145,0.55,728972961,democratic principle
JB,political_speech,34,We can overcome the deadly virus,0.5857439,0.55,757843275,the death toll from the infectious disease continues to climb
JB,political_speech,36,"We can deliver racial justice, and we can make America, once again, the leading force for good in the world",0.6149876,0.55,769682854,Make America Great Again
JB,political_speech,42,And victory is never assured,0.550955,0.55,700461600,"secure, is that really a victory?"
JB,political_speech,51,"No progress, only exhausting outrage",0.5597471,0.55,783702663,a worldwide storm of outrage
JB,political_speech,54,And we must meet this moment as the United States of America,0.5645342,0.55,703821117,to never reveal the meeting to the American people
JB,political_speech,55,"If we do that, I guarantee you, we will not fail",0.55853724,0.55,699142854,"If they fail, the possibility Trump created will be lost, perhaps irrevocably"
JB,political_speech,63,America has to be better than this,0.5519611,0.55,769682854,Make America Great Again
JB,political_speech,71,Dont tell me things cant change,0.6109825,0.55,728972961,That we cannot change
JB,political_speech,73,"And here we stand, just days after a riotous mob thought they could use violence to silence the will of the people, to stop the work of our democracy, to drive us from this sacred ground",0.56410956,0.55,776368676,to stop the will of We the People
JB,political_speech,88,"There is truth, and there are lies lies told for power and for profit",0.57853895,0.55,697959084,One can only speculate as to what the reasons for these lies actually are?
JB,political_speech,108,Were entering what may be the toughest and deadliest period of the virus,0.57874393,0.55,754231597,a deadly virus that causes severe bleeding and organ failure
JB,political_speech,109,We must set aside politics and finally face this pandemic as one Nation,0.6505387,0.55,707566605,making a global pandemic much more likely
JB,political_speech,133,Will we meet our obligations and pass along a new and better world to our children,0.564478,0.55,767129999,"We want children staying together,"
JB,political_speech,137,What will our children say,0.58428186,0.55,767129999,"We want children staying together,"
JB,political_speech,146,I will defend America,0.5737474,0.55,787668628,strengthening America and protecting Americans
JB,political_speech,149,"A story of decency and dignity, love and healing, greatness and goodness",0.62161255,0.55,729410793,as children of God with inherent dignity
GWB2,political_speech,2,"I am grateful for the honor of this hour, mindful of the consequential times in which we live, and determined to fulfill the oath that I have sworn and you have witnessed",0.5741749,0.55,790483991,"I wish to encourage you, dear faithful, my brothers and sisters in Christ"
GWB2,political_speech,7,"For as long as whole regions of the world simmer in resentment and tyranny, prone to ideologies that feed hatred and excuse murder, violence will gather and multiply in destructive power and cross the most defended borders and raise a mortal threat",0.55369496,0.55,785801366,Countering Violent Extremism
GWB2,political_speech,8,"There is only one force of history that can break the reign of hatred and resentment and expose the pretensions of tyrants and reward the hopes of the decent and tolerant, and that is the force of human freedom",0.58115894,0.55,773520636,Resistance to tyrants is obedience to God
GWB2,political_speech,16,"Now, it is the urgent requirement of our Nations security and the calling of our time",0.5945254,0.55,701837665,a grave threat to national security
GWB2,political_speech,17,"So it is the policy of the United States to seek and support the growth of democratic movements and institutions in every nation and culture, with the ultimate goal of ending tyranny in our world",0.57247674,0.55,761610997,end tyranny in our world
GWB2,political_speech,23,The great objective of ending tyranny is the concentrated work of generations,0.68450457,0.55,761610997,end tyranny in our world
GWB2,political_speech,26,My most solemn duty is to protect this Nation and its people from further attacks and emerging threats,0.55348283,0.55,701837665,a grave threat to national security
GWB2,political_speech,48,Division among free nations is a primary goal of freedoms enemies,0.5746747,0.55,711964584,once great nations darkest moments and a low point for freedom
GWB2,political_speech,51,"From all of you I have asked patience in the hard task of securing America, which you have granted in good measure",0.5862694,0.55,787668628,strengthening America and protecting Americans
GWB2,political_speech,58,And one day this untamed fire of freedom will reach the darkest corners of our world,0.5942671,0.55,711964584,once great nations darkest moments and a low point for freedom
GWB2,political_speech,73,"By making every citizen an agent of his or her own destiny, we will give our fellow Americans greater freedom from want and fear and make our society more prosperous and just and equal",0.5536399,0.55,776368676,to stop the will of We the People
GWB1,political_speech,18,"And sometimes our differences run so deep, it seems we share a continent but not a country",0.6507463,0.55,729561658,continent not a country
GWB1,political_speech,26,Every citizen must uphold them,0.5955638,0.55,765913191,law-abiding citizens
GWB1,political_speech,28,"Today we affirm a new commitment to live out our Nations promise through civility, courage, compassion, and character",0.5594615,0.55,785801366,noble and courageous individuals
GWB1,political_speech,48,"The enemies of liberty and our country should make no mistake America remains engaged in the world, by history and by choice, shaping a balance of power that favors freedom",0.5584688,0.55,761674108,Extremism in the defense of liberty is no vice
GWB1,political_speech,49,We will defend our allies and our interests,0.55873585,0.55,699478811,"This will not only serve to bolster the Assad regime, but it also will strengthen Irans ability to follow through on its threats to the U.S. and its allies, principally Israel"
GWB1,political_speech,51,We will meet aggression and bad faith with resolve and strength,0.59214056,0.55,769962328,fighting the good fight of faith
GWB1,political_speech,56,Abandonment and abuse are not acts of God they are failures of love,0.57211494,0.55,725498022,the abuse was approved by God
GWB1,political_speech,58,"Where there is suffering, there is duty",0.5822865,0.55,783702663,the sufferings of the Church
GWB1,political_speech,81,"I ask you to be citizens Citizens, not spectators citizens, not subjects responsible citizens building communities of service and a nation of character",0.55911136,0.55,765913191,law-abiding citizens
